ID_LAB,Depth,Island_Site,Size_Ba,Distance_Ba,Size_Ap,Distance_Ap,Size_Ba_sd,Distance_Ba_sd,Size_Ap_sd,Distance_Ap_sd
2485,20,Rangiroa_3,0.6085,0.48,0.8797,0.3113,0.12254364301931148,0.2035490658839343,0.1804476224405421,0.06651491060907572
2486,20,Rangiroa_3,0.532,0.6682,0.7725,0.2577,0.05633629183552799,0.25152327040565364,0.1325395119284141,0.08265732474096495
2487,20,Rangiroa_3,0.6682,0.43,0.8393,0.2757,0.07837204717102764,0.12843675486401857,0.11030266441830759,0.08926247189546618
2488,20,Rangiroa_3,0.6557999999999999,0.5177,0.6867,0.2822,0.1064840102759304,0.0995211312011452,0.06981730126233437,0.11913185971854882
2490,20,Rangiroa_3,0.61240000000000006,0.5501,0.6843,0.2871,0.08323220530539845,0.12959633911153165,0.14907794381910874,0.06454533290641547
2491,20,Rangiroa_3,0.7113,0.4996,0.7182,0.3123,0.08104326690793696,0.14819221751945455,0.11484946669445184,0.09914641249743288
2492,20,Rangiroa_3,0.7066,0.6225,0.7538,0.2259,0.06187837532881203,0.1398421729426904,0.09483646743503027,0.047200400186627425
2583,40,Rangiroa_3,0.732,0.5361,0.7544,0.2382,0.07113836283375284,0.1883138337987945,0.2174111312697673,0.08178263874441813
2584,40,Rangiroa_3,0.9571,0.5213,0.8712,0.1861,0.10741658262215484,0.13209849019239817,0.07875531728080333,0.06369624094961264
2585,40,Rangiroa_3,0.821,0.467,0.8567,0.3312,0.05481078563770294,0.1224472675617277,0.07643886446043006,0.20761813237019758
2586,40,Rangiroa_3,0.7479,0.6826,0.844,0.32121,0.0839807517629288,0.12476573603713836,0.14876678243329577,0.17963041347289843
2587,40,Rangiroa_3,0.66,0.7496,0.9198,0.37070000000000003,0.11489898945498946,0.2495699412099854,0.04459646224135323,0.11936317131622581
2588,40,Rangiroa_3,0.7716,0.6113,0.8193,0.1744,0.09164084484794127,0.16361204112167296,0.0756057757934758,0.04849100718460876
2589,40,Rangiroa_3,0.4681,0.6900000000000001,0.6834,0.2973,0.05369140216707576,0.16026089839869098,0.13491165833817162,0.06023481828090239
2590,40,Rangiroa_3,0.5606,0.5436,0.6294,0.4274,0.06193580906425978,0.1327187502452712,0.09332285655484165,0.16715275781285946
2591,40,Rangiroa_3,0.6718999999999999,0.5569999999999999,0.7004,0.3502,0.15481347199488524,0.16364935414205312,0.08883592866752857,0.12879768803998168
2592,40,Rangiroa_3,0.7648,0.696,0.777,0.3685,0.10390786517123929,0.24264010843680034,0.11015645439303337,0.10640723659601352
2594,6,Rangiroa_3,0.7617,0.2819,0.6888,0.18555,0.09253473822180391,0.11317484015647844,0.09345087836219981,0.047207844216354086
2595,6,Rangiroa_3,0.8232,0.4164,0.6686,0.203,0.12952717432604208,0.19973326657764795,0.09378367543329583,0.07863417408056966
2596,6,Rangiroa_3,0.6768,0.4232,0.7545000000000001,0.3015,0.11520976038899172,0.15783521646183893,0.13571477443521024,0.11836408051244074
2597,6,Rangiroa_3,0.6407,0.6505,0.7445,0.17521,0.05066896924592451,0.21903538526913865,0.0983093191016102,0.0797679753340204
2598,6,Rangiroa_3,0.7827,0.3787,0.7681,0.2351,0.059228465378659854,0.09444463398673791,0.06979406214794429,0.05680854787011469
2599,6,Rangiroa_3,0.6782,0.35559999999999997,0.7272,0.242,0.12286288653978827,0.0816131797635107,0.08767084907640493,0.13874837336383844
2600,6,Rangiroa_3,0.5385,0.5492,0.6894,0.3401,0.047174027694154845,0.12451577320876972,0.107039141335204,0.06683719855822139
2601,6,Rangiroa_3,0.5301,0.3275,0.761,0.3489,0.11030206001904247,0.11745377341272986,0.11870130580579137,0.10843579769717296
2602,6,Rangiroa_3,0.5457,0.43720000000000003,0.6103000000000001,0.2844,0.08334539912649981,0.07059713560446737,0.11212795270483528,0.06840435333774858
2603,6,Rangiroa_3,0.6369,0.2629,0.6013000000000001,0.2695,0.07837863938032551,0.06773059377661865,0.1190686543320468,0.06448987862017143
