ID_LAB,Island_Site,Depth,Extraction,δ13C,δ15N,Ratio_C_N,Delta13C_Pol_Zoox,Delta15N_Pol_Zoox,Ratio13C_Pol_Zoox,Ratio15N_Pol_Zoox
2485,Rangiroa_3,20,Zoox,-15.4,9.9,5.1063829787234045,-0.839999999999998,-0.17,1.05454545454545,0.982828282828283
2485,Rangiroa_3,20,Polyps,-16.24,9.73,2.875,-0.839999999999998,-0.17,1.05454545454545,0.982828282828283
2486,Rangiroa_3,20,Polyps,-15.82,9.45,3.555555555555556,-0.32,-0.0200000000000014,1.02064516129032,0.997888067581837
2486,Rangiroa_3,20,Zoox,-15.5,9.47,6.117647058823529,-0.32,-0.0200000000000014,1.02064516129032,0.997888067581837
2487,Rangiroa_3,20,Polyps,-16.72,11.65,3.0000000000000004,0.0500000000000007,2.03,0.997018485390578,1.21101871101871
2487,Rangiroa_3,20,Zoox,-16.77,9.62,5.216216216216216,0.0500000000000007,2.03,0.997018485390578,1.21101871101871
2488,Rangiroa_3,20,Zoox,-16.25,9.1,5.542857142857143,0.149999999999999,-0.43,0.990769230769231,0.952747252747253
2488,Rangiroa_3,20,Polyps,-16.1,8.67,3.75,0.149999999999999,-0.43,0.990769230769231,0.952747252747253
2490,Rangiroa_3,20,Polyps,-16.43,8.83,4.571428571428571,0.18,-0.31,0.989163154726069,0.966083150984683
2490,Rangiroa_3,20,Zoox,-16.61,9.14,5.36,0.18,-0.31,0.989163154726069,0.966083150984683
2491,Rangiroa_3,20,Polyps,-16.26,9.49,3.4,0.0299999999999976,-0.0199999999999996,0.998158379373849,0.997896950578339
2491,Rangiroa_3,20,Zoox,-16.29,9.51,5.258064516129032,0.0299999999999976,-0.0199999999999996,0.998158379373849,0.997896950578339
2492,Rangiroa_3,20,Polyps,-16.83,8.92,4.857142857142857,-0.0499999999999972,-0.51,1.00297973778307,0.945917285259809
2492,Rangiroa_3,20,Zoox,-16.78,9.43,6.3125,-0.0499999999999972,-0.51,1.00297973778307,0.945917285259809
2583,Rangiroa_3,40,Polyps,-16.19,9.29,5,0.469999999999999,-0.270000000000001,0.971788715486194,0.971757322175732
2583,Rangiroa_3,40,Zoox,-16.66,9.56,6.238095238095238,0.469999999999999,-0.270000000000001,0.971788715486194,0.971757322175732
2585,Rangiroa_3,40,Zoox,-18.39,10.1,5.354838709677419,0.740000000000002,0.41,0.959760739532354,1.04059405940594
