Sample ID;Weight (mg);N2 Amp;%N;δ15N vs. At. Air;CO2 Amp;%C;δ13C vs. VPDB
124-P;18.595;505;0.07;4.88;283;0.25;-17.94
169-P;19.198;272;0.04;3.56;223;0.19;-18.87
169-Z;11.047;870;0.19;3.38;779;1.17;-18.98
1086-P;20.329;483;0.06;4.76;251;0.20;-18.29
1086-Z;8.933;1,225;0.36;5.09;905;1.68;-18.20
1087-P;20.686;651;0.08;4.98;358;0.28;-16.87
1087-Z;10.557;1,936;0.46;5.09;1,508;2.40;-17.14
1088-Z;9.238;1,636;0.43;7.36;1,270;2.31;-17.11
1088-P;16.982;497;0.07;5.06;242;0.23;-17.09
1033-P;19.224;492;0.06;5.98;354;0.30;-18.96
1033-Z;9.539;813;0.21;5.76;783;1.37;-19.69
917-P;19.289;443;0.06;6.01;281;0.27;-21.08
917-Z;10.357;963;0.24;5.92;896;1.62;-21.88
111-P;17.999;469;0.07;4.70;374;0.34;-17.07
111-Z;10.618;1,326;0.30;4.65;1,071;1.69;-17.35
921-P;18.971;474;0.07;6.91;307;0.26;-16.88
921-Z;10.213;1,314;0.34;4.79;1,138;1.87;-17.39
922-P;19.046;622;0.09;3.67;334;0.29;-15.95
922-Z;11.572;2,052;0.42;5.33;1,508;2.21;-16.64
1778-Z;10.7;2,310;0.55;9.94;2,141;3.43;-14.94
1778-P;18.774;738;0.11;8.68;434;0.38;-14.87
852-P;18.398;384;0.05;4.69;232;0.20;-18.21
852-Z;9.619;793;0.21;4.83;712;1.23;-18.82
853-P;19.968;395;0.05;5.51;271;0.22;-18.24
853-Z;10.509;495;0.12;5.22;434;0.68;-18.74
854-Z;10.408;861;0.21;5.53;774;1.24;-18.11
854-P;18.244;326;0.05;5.09;222;0.20;-18.33
855-Z;11.831;1,442;0.33;5.69;1,342;1.91;-17.67
855-P;19.168;538;0.08;3.33;351;0.30;-17.22
856-Z;10.814;1,148;0.29;5.39;1,070;1.65;-19.12
856-P;18.339;465;0.07;4.13;310;0.27;-17.96
857-P;19.067;641;0.07;5.27;599;0.46;-20.07
857-Z;11.322;1,042;0.20;5.18;944;1.25;-17.10
109-P;19.393;450;0.05;4.32;350;0.26;-18.78
109-Z;10.814;897;0.18;4.48;1,035;1.44;-18.98
123-Z;9.761;496;0.12;3.90;585;0.89;-18.54
123-P;18.747;299;0.04;3.56;251;0.19;-18.38
137-Z;10.183;1,342;0.27;4.85;1,361;2.04;-18.93
137-P;19.101;492;0.06;4.55;385;0.30;-18.99
138-Z;9.804;476;0.11;3.94;505;0.77;-19.24
138-P;19.554;315;0.04;4.14;264;0.20;-19.05
136-Z;9.825;756;0.17;3.83;764;1.17;-18.88
136-P;18.958;340;0.04;4.09;327;0.25;-18.46
152-P;19.935;469;0.06;4.51;434;0.32;-18.39
152-Z;10.687;886;0.19;4.00;923;1.34;-18.80
2567-Z;10.919;1,888;0.39;10.07;1,765;2.59;-19.27
2567-P;21.754;1,045;0.11;11.27;1,059;0.76;-19.28
2568-P;21.765;765;0.08;9.07;733;0.52;-19.31
